"FID_","ID_final","Aedes.aegypti","Aedes.albopictus","Aedes.atropalpus","Aedes.dupreei","Aedes.infirmatus","Aedes.sollicitans","Aedes.taeniorhynchus","Aedes.tortilis","Aedes.triseriatus","Aedes.vexans.sensu.lato","Anopheles.albimanus","Anopheles.atropos","Anopheles.barberi","Anopheles.perplexens","Anopheles.punctipennis","Anopheles.quadrimaculatus","Coquillettidia.perturbans","Culex.coronator","Culex.erraticus","Culex.iolambdis","Culex.nigripalpus","Culex.quinquefasciatus","Culex.restuans","Culex.salinarius","Culex.tarsalis","Culex.territans","Culiseta.inornata","Culiseta.melanura","Mansonia.dyari","Mansonia.titillans","Orthopodomyia.alba","Psorophora.ciliata","Psorophora.columbiae","Psorophora.cyanescens","Psorophora.ferox","Psorophora.horrida","Psorophora.howardii","Uranotaenia.lowii","Uranotaenia.sapphirina","Wyeomyia.mitchellii","Wyeomyia.vanduzeei","Anopheles.crucians.complex2","Aedes.atlanticus.tormentor.morphological.group2","Aedes.mathesoni.complex2","Aedes.fulvus2","pland_1","pland_2","pland_13","pland_15","pland_16","year","Long_final","Lat_final"
49,"s36",0,0.172413793,NA,0,4.344827586,0,0.172413793,0,0,0,0,0,0,0,0,0.448275862,0.517241379,0.172413793,2.482758621,0,420.6206897,0,0,0,0,0,0,0,0,2.172413793,0,9.862068966,309.6206897,0,0.344827586,0,0,0,0,0,0,13.5862069,0,0,0,17.94871795,3.205128205,21.79487179,2.243589744,10.25641026,2016,-82.324,27.475
50,"s30",0.923076923,0.153846154,NA,0,0.038461538,0,0.615384615,0,0,0,0,0.038461538,0,0,0,0,0,0,0.115384615,0,3.769230769,0.076923077,0,0,0,0,0,0,0,0.038461538,0,0.038461538,0.923076923,0,0,0,0,0.038461538,0,0,0,0.076923077,0,0,0,1.265822785,98.73417722,0,0,0,2016,-82.5513,27.4751
52,"s28",0.178571429,0,NA,0,0.107142857,0.035714286,1.178571429,0,0,0,0,0,0,0,0,0,0,0,0.535714286,0,8.178571429,0,0,0,0,0,0,0,0,0.035714286,0,0,0.321428571,0,0,0,0,0,0,0,0,0.285714286,0,0,0,0.961538462,96.47435897,0,0.961538462,0.320512821,2016,-82.613,27.476
54,"s33",1.407407407,4,NA,0,21.51851852,0,12.92592593,0,0.074074074,0.111111111,0,0,0,0,0,0.740740741,2.037037037,2.333333333,15.18518519,0,459.1481481,0,0.259259259,0,0,0,0,0.074074074,0.074074074,4.814814815,0,0,26.66666667,0,6.62962963,0,0.407407407,1.037037037,0,0,0,16.14814815,6.333333333,0,0,8.064516129,82.25806452,0,1.290322581,1.935483871,2016,-82.4804,27.4813
56,"s34",0,0.24137931,NA,0,1.517241379,0,1,0,0,0.413793103,0,0,0,0,0,1.827586207,1.068965517,1.034482759,23.06896552,0,230.8965517,0,0,0,0,0,0,0.137931034,0.103448276,0.620689655,0,0.137931034,46.55172414,0,2.24137931,0,0.206896552,0,0,0.034482759,0,10.17241379,1.24137931,0,0,2.201257862,28.93081761,5.974842767,5.660377358,15.40880503,2016,-82.402,27.485
58,"s29",2.555555556,0,NA,0,0.222222222,0.037037037,0.962962963,0,0,0.037037037,0,0,0,0,0,0,0,0.037037037,0.074074074,0,1.185185185,0.259259259,0,0,0,0,0,0,0,0,0,0,0.962962963,0.185185185,0,0,0.037037037,0,0,0,0.037037037,0,0,0,0,18.61198738,81.07255521,0,0,0,2016,-82.592,27.489
60,"s35",0,0.121621622,NA,0,0.635135135,0,0.27027027,0,0.094594595,0.013513514,0,0.013513514,0,0,0,0.945945946,1.310810811,0.351351351,13.72972973,0,192.1216216,0.040540541,0.040540541,0.054054054,0,0,0,0.040540541,2.716216216,9.554054054,0,0.527027027,251.2162162,0,0,0,0,0.027027027,0,0,0,10.48648649,0.054054054,0,0.013513514,12.5,10.8974359,9.615384615,3.205128205,16.98717949,2016,-82.3617,27.4894
62,"s31",0.142857143,0,NA,0,0.071428571,0,6.392857143,0,0,0,0,0,0,0,0,0.107142857,0,0,0.428571429,0,9.785714286,0,0,0,0,0,0,0,0,0.035714286,0,0,5.107142857,0,0,0,0,0.035714286,0,0,0,0.571428571,0,0,0,27.04402516,70.75471698,0,0.628930818,0.943396226,2016,-82.534,27.49
66,"s26",0.666666667,0,NA,0,1.222222222,2,254.2592593,0,0.111111111,0,0,0.037037037,0,0,0,0,0,0,0.074074074,0,45.14814815,0,0,0,0,0,0,0,0,0.037037037,0,0,12.44444444,0,0,0,0,0,0,0,0,3.740740741,0,0,0,35.57692308,45.19230769,0,0.320512821,13.78205128,2016,-82.6574,27.5031
70,"s25",0,0,NA,0,3.107142857,0,6.964285714,0,0,0,0,0.142857143,0,0,0,2.678571429,0.285714286,0.892857143,18.32142857,0,128.8214286,0,0,0,0,0,0,0,2.678571429,4.142857143,0,0.178571429,178.0714286,0,0.678571429,0,0.035714286,0.678571429,0,0,0,8.321428571,0.035714286,0,0,9.935897436,26.6025641,8.653846154,10.25641026,15.70512821,2016,-82.432,27.513
71,"s23",0.153846154,0.423076923,NA,0,0.115384615,0,8.461538462,0,0,0.076923077,0,0,0,0,0,0.807692308,0.269230769,4.076923077,5.615384615,0,60.57692308,0,0,0,0,0,0,0,3.115384615,1.846153846,0,0,9.807692308,0.346153846,0.115384615,0,0.038461538,0.461538462,0.076923077,0,0,7.923076923,0.076923077,0,0,32.80757098,61.51419558,0,0.94637224,0,2016,-82.538,27.516
74,"s21",1,0.074074074,NA,0,0.518518519,0.037037037,25.25925926,0,0,0.111111111,0,0.074074074,0,0,0,1.444444444,0,1.444444444,7.592592593,0,34.66666667,0,0,0,0,0,0,0,0,0.703703704,0,0.111111111,26.81481481,0,0.148148148,0,0,0,0,0,0.037037037,1.851851852,0,0,0,40.50632911,54.74683544,0,1.265822785,0.632911392,2016,-82.588,27.529
76,"s22",1.68,4.08,NA,0,7.6,0,39.6,0,0.2,0,0,0,0,0,0,2,0,10.28,8.52,0,129.96,0.68,0,0,0,0,0,0.08,0.04,0.12,0,0,6.32,0,4.16,0,0,0.24,0.08,0,0,12.8,0,0,0,31.64556962,62.97468354,0,1.265822785,1.582278481,2016,-82.5824,27.531
81,"s61",0.296296296,0,NA,0,0,0,0.481481481,0,0,0.037037037,0,0,0,0,0,0,0,0,0.222222222,0,4.888888889,0,0,0,0,0,0,0,0,0.111111111,0,0,0.703703704,0.037037037,0,0,0.037037037,0,0,0,0,0.148148148,0,0,0,4.761904762,86.03174603,0,2.222222222,1.587301587,2016,-82.5657,27.5333
82,"s18",0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,221,0,0,0,0,0,0,0,0,10,0,2.5,986.5,0,0,0,0,0,0,0,0,20,0,0,0,0,0.317460317,32.6984127,1.904761905,6.031746032,2016,-82.353,27.549
84,"s19",0.037037037,0.888888889,NA,0,6.074074074,0,16.81481481,0,0,1.074074074,0,0,0,0,0,0.666666667,0.259259259,4.666666667,7.407407407,0,581.5185185,0,0.740740741,0,0,0,0,0,0,1.407407407,0,0.148148148,42.37037037,0.037037037,9.111111111,0,0,0.333333333,0,0,0,10.44444444,0.555555556,0,0,3.164556962,74.6835443,0.632911392,3.481012658,4.430379747,2016,-82.546,27.554
86,"s13",0,0,NA,0,4.333333333,0,9.087719298,0,0,0.052631579,0,0,0,0,0,3.421052632,2,1.421052632,122.6491228,0,491.8245614,0,0,0,0,0,0,0,10.1754386,11.38596491,0,0.035087719,33.29824561,0,0.824561404,0,0.070175439,2.01754386,5.684210526,0,0,64.29824561,0.298245614,0,0,2.236421725,38.01916933,12.4600639,4.47284345,23.00319489,2016,-82.4803,27.565
